Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
2.3600000000;0.0199903353;-0.0222467024;-0.0192640635;0.0663962018;0.1514318534;0.0261770470
2.3700000000;0.0200333023;-0.0222756524;-0.0193338330;0.0674321303;0.1521151891;0.0272473031
2.3800000000;0.0200759129;-0.0223039246;-0.0193965763;0.0684727276;0.1527114499;0.0283316566
2.3900000000;0.0201181659;-0.0223315238;-0.0194521314;0.0695080924;0.1532210446;0.0294297758
2.4000000000;0.0201600599;-0.0223584568;-0.0195003719;0.0705252189;0.1536462678;0.0305413526
2.4100000000;0.0202015934;-0.0223847315;-0.0195412302;0.0715098079;0.1539911626;0.0316666551
2.4200000000;0.0202427644;-0.0224103566;-0.0195747093;0.0724478285;0.1542622898;0.0328064372
2.4300000000;0.0202835713;-0.0224353416;-0.0196008977;0.0733256354;0.1544686421;0.0339611572
2.4400000000;0.0203240120;-0.0224596960;-0.0196199818;0.0741294393;0.1546163408;0.0351304093
2.4500000000;0.0203640846;-0.0224834291;-0.0196322369;0.0748474433;0.1547053630;0.0363131940
2.4600000000;0.0204037874;-0.0225065498;-0.0196380038;0.0754733585;0.1547346338;0.0375085779
2.4700000000;0.0204431185;-0.0225290664;-0.0196376734;0.0760058633;0.1547076900;0.0387160122
2.4800000000;0.0204820764;-0.0225509869;-0.0196316746;0.0764427123;0.1546313473;0.0399352767
2.4900000000;0.0205206594;-0.0225723186;-0.0196204566;0.0767768196;0.1545098800;0.0411663119
2.5000000000;0.0205588663;-0.0225930691;-0.0196044683;0.0770006781;0.1543427552;0.0424090029
2.5100000000;0.0205966956;-0.0226132454;-0.0195841513;0.0771137463;0.1541289465;0.0436629894
2.5200000000;0.0206341465;-0.0226328545;-0.0195599460;0.0771231877;0.1538719012;0.0449277944
2.5300000000;0.0206712177;-0.0226519026;-0.0195322967;0.0770370113;0.1535804775;0.0462031935
2.5400000000;0.0207079085;-0.0226703961;-0.0195016480;0.0768578144;0.1532673137;0.0474891460
2.5500000000;0.0207442178;-0.0226883409;-0.0194684398;0.0765839505;0.1529462299;0.0487853415
2.5600000000;0.0207801447;-0.0227057431;-0.0194331170;0.0762144244;0.1526297162;0.0500911064
2.5700000000;0.0208156884;-0.0227226084;-0.0193961408;0.0757509622;0.1523296759;0.0514055715
2.5800000000;0.0208508480;-0.0227389430;-0.0193579859;0.0751977674;0.1520601197;0.0527276340
2.5900000000;0.0208856229;-0.0227547531;-0.0193191304;0.0745598876;0.1518349194;0.0540559440
2.6000000000;0.0209200125;-0.0227700453;-0.0192800550;0.0738413324;0.1516636646;0.0553891995
